comment_id,username,message,feeling_pos,feeling_neu,feelinf_neg,external_ref,phys_react_intentional,phys_react_unintentional,reference_audience
ct_472,Keti Chachibaia,Visuals are absolutely stunning :star_struck: ,,,,,,,
ct_474,Steven Baker,@Doughnut Doney There is a part two with various of their best numbers then 2 number encore,,,,,,,
ct_475,filtav,:face-blue-wide-eyes:,,,,,,,
ct_476,Nat GE,love love this tune,,,,,,,
ct_477,Stefan Irma,:blue_heart::blue_heart::blue_heart:,,,,,,,
ct_478,Doughnut Doney,ahh Cherry B Girl might be played then,,,,,,,
ct_486,Steven Baker,:shooting_star::shooting_star::shooting_star::shooting_star::shooting_star::shooting_star:,,,,,,,
ct_487,Raphael de Siecle-Lindup,I was in the RAH that night..totally spellbound by it :),,,,,,,
ct_489,Nat GE,some Richard Wrigth here,,,,,,,
ct_490,Tomasz Stasiak,:face-fuchsia-wide-eyes:,,,,,,,
ct_492,MrTRIFORCE666,:musical_keyboard: :musical_keyboard: :musical_keyboard: :sparkles:,,,,,,,
ct_494,filtav,26 years and still so vanguard Masters,,,,,,,
ct_496,Holger Schneider,reminders of the past,,,,,,,
ct_498,Sergey Smirny,:thumbs_up::thumbs_up::thumbs_up:,,,,,,,
ct_499,popcorntommy,Moo Safari - the last great album ,,,,,,,
ct_500,Stefan Irma,flash back,,,,,,,
ct_503,Sterra e,:sparkling_heart::sparkling_heart::sparkling_heart:,,,,,,,
ct_504,filtav,@ARTE Concert :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,,,,,,,
ct_508,blue_scape,Is this recording from the 30/5 or 31/5 ?? @ARTE Concert ,,,,,,,
ct_511,popcorntommy,can someone translate to english what ARTE said please ,,,,,,,
ct_512,Andy G,Amazing :smiling_face_with_heart_eyes:,,,,,,,
ct_517,blue_scape,Thank you ,,,,,,,
ct_520,Ganimedes Light,:fireworks::fireworks::fireworks:,,,,,,,
ct_523,filtav,@popcorntommy VOD will keep here for you to listen further,,,,,,,
ct_524,Keti Chachibaia,This is so cosmic. As if our planet is emitting this music into the galaxy. Incredible :red_heart:,,,,,,,
ct_526,Josué Garro,This is pure bliss,,,,,,,
ct_529,filtav,this one OOOOF,,,,,,,
ct_530,Miguel Ferreira,@ f c,,,,,,,
ct_532,Irie Elliott,this is the one 4me :dashing_away::dashing_away:,,,,,,,
ct_533,Keti Chachibaia,This is my absolute fav :red_heart:,,,,,,,
ct_536,Simon G,:red_heart:,,,,,,,
ct_538,Marcelo Borges,:smiling_face_with_smiling_eyes:,,,,,,,
ct_539,Stefan Irma,thanks so much arte :folded_hands:,,,,,,,
ct_540,Angelina Evtikhova,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:,,,,,,,
ct_541,Marcelo Borges,:thanksdoc:,,,,,,,
ct_543,kuronocloud66,Daft punk stole everything from Air,,,,,,,
ct_545,Headsknow,Love this so much. ,,,,,,,
ct_546,blue_scape,Radian is the next song (says the setlist) @Headsknow ,,,,,,,
ct_548,Steven Baker,Pure Joy!:sparkling_heart::victory_hand:,,,,,,,
